timestamp.0,integration_long.0,integration_long.1,integration_long.2,integration_long.3,integration_long.4,integration_long.5,integration_long.6,integration_long.7,integration_long.8,integration_long.9,integration_long.10,integration_long.11,integration_long.12,integration_long.13,integration_long.14,integration_long.15,integration_short.0,integration_short.1,integration_short.2,integration_short.3,integration_short.4,integration_short.5,integration_short.6,integration_short.7,integration_short.8,integration_short.9,integration_short.10,integration_short.11,integration_short.12,integration_short.13,integration_short.14,integration_short.15,
0.0054636,,3413.79,,,,,,,,,,,,,,,,2010.88,,,,,,,,,,,,,,,
0.00546508,,7399.2,,,,,,,,,,,,,,,,5021.76,,,,,,,,,,,,,,,
0.00547033,,11425.6,,,,,,,,,,,,,,,,7455.82,,,,,,,,,,,,,,,
0.00547279,,8610.28,,,,,,,,,,,,,,,,5553.76,,,,,,,,,,,,,,,
0.00547499,,16599.5,,,,,,,,,,,,,,,,8718.95,,,,,,,,,,,,,,,
0.00547887,,6884.58,,,,,,,,,,,,,,,,4411.57,,,,,,,,,,,,,,,
0.00548327,,22952.7,,,,,,,,,,,,,,,,15130.1,,,,,,,,,,,,,,,
0.00548889,,26020,,,,,,,,,,,,,,,,17228.6,,,,,,,,,,,,,,,
0.00549834,,7921.72,,,,,,,,,,,,,,,,4913.28,,,,,,,,,,,,,,,
0.00550104,,9992.18,,,,,,,,,,,,,,,,6301.04,,,,,,,,,,,,,,,
0.00550399,,9111.56,,,,,,,,,,,,,,,,6359.73,,,,,,,,,,,,,,,
0.00550747,,13237,,,,,,,,,,,,,,,,3463.71,,,,,,,,,,,,,,,
0.00551394,,5667.11,,,,,,,,,,,,,,,,3225.9,,,,,,,,,,,,,,,
0.00551478,,,0.49667,,,,,,,,,,,,,,,,3281.38,,,,,,,,,,,,,,
0.00551962,,21940.1,,,,,,,,,,,,,,,,14302.9,,,,,,,,,,,,,,,
0.00552484,,12485.9,,,,,,,,,,,,,,,,7906.05,,,,,,,,,,,,,,,
0.00553033,,7278,,,,,,,,,,,,,,,,4503.06,,,,,,,,,,,,,,,
0.00553136,,0.0322126,,,,,,,,,,,,,,,,4115.17,,,,,,,,,,,,,,,
0.00553375,,10365.7,,,,,,,,,,,,,,,,6017.63,,,,,,,,,,,,,,,
0.00554159,,2953.07,,,,,,,,,,,,,,,,1687.17,,,,,,,,,,,,,,,
0.00555048,,2692.35,,,,,,,,,,,,,,,,1920.04,,,,,,,,,,,,,,,
0.0055534,,16238.4,,,,,,,,,,,,,,,,10569.1,,,,,,,,,,,,,,,
0.00555482,,5328.83,,,,,,,,,,,,,,,,3610.72,,,,,,,,,,,,,,,
